Model,CV Accuracy Mean,CV Accuracy SD,CV Precision Mean,CV Precision SD,CV Recall Mean,CV Recall SD,CV F1 Mean,CV F1 SD,CV ROC-AUC Mean,CV ROC-AUC SD,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Best Params,Test_CV_ROC_AUC_Abs_Gap
Random Forest,0.9758378970427163,0.006632810247666773,0.987138582241557,0.012357165837591128,0.9700754975978036,0.007999342366140513,0.9784573994952677,0.005843121069591233,0.9988268639263836,0.000786102073719913,0.9565217391304348,0.9736842105263158,0.9487179487179487,0.961038961038961,0.9915004748338082,"{""model__max_depth"": null, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",0.007326389092575436
SVM,0.9601606425702812,0.006060579668012418,0.9804178986792825,0.012044393281420207,0.9487302676733013,0.012365670761817512,0.9641887797269122,0.005410912064404967,0.9885701848038841,0.005740762916493836,0.9565217391304348,0.9821428571428571,0.9401709401709402,0.9606986899563319,0.9910731244064577,"{""model__C"": 1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",0.0025029396025735284
Logistic Regression,0.9601460387002557,0.006167460010181664,0.9763994249478121,0.015505097073162527,0.9530542210020589,0.020843231003351247,0.9642701657587697,0.005785694251649479,0.9879686824779481,0.004336828194497984,0.9371980676328503,0.9814814814814815,0.905982905982906,0.9422222222222222,0.9848053181386515,"{""model__C"": 1, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.003163364339296648
Decision Tree,0.8973274917853231,0.027536771297851596,0.917172063806374,0.022304310309332685,0.8995195607412491,0.03076266324015793,0.9081471951800193,0.025067846429682364,0.9565370878771702,0.008731550317188355,0.8840579710144928,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.9640075973409307,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10, ""model__min_samples_split"": 2}",0.0074705094637604885
